word,pos,frequency
och,conj,26019.68
vara,verb,23017.26
i,prep,19272.89
ha,verb,15983.31
dess,pronoun,15935.58
det,pronoun,14582.21
en,det,14511.22
som,pronoun,12734.7
på,prep,12591.15
å,prep,12462.73
av,prep,11540.13
för,prep,11408.82
att,subj,11271.57
kunna,verb,11119.08
skola,verb,10411.19
jag,pronoun,9390.67
inte,adverb,9073.55
med,prep,8790.85
till,prep,8662.68
liten,adjective,8654.67
den,det,6896.18
ett,det,6314.26
analog,adjective,5649.0
unna,verb,5559.15
om,prep,5278.24
vi,pronoun,4723.57
men,conj,4545.97
man,pronoun,4446.34
de,det,4437.26
få,verb,4060.39
så,adverb,4004.97
som,conj,3762.28
sig,pronoun,3469.03
han,pronoun,3380.88
de,pronoun,3345.8
bli,verb,3293.35
komma,verb,3224.74
det,det,3221.41
sin,pronoun,3217.3
eller,conj,3138.92
från,prep,3117.46
mycket,adverb,3112.13
vilja,verb,3004.91
all,pronoun,2975.47
göra,verb,2942.04
om,subj,2630.45
annan,pronoun,2624.2
du,pronoun,2581.46
någon,pronoun,2565.69
finna,verb,2465.41
ta,verb,2452.4
när,adverb,2386.89
se,verb,2253.32
måste,verb,2214.95
detta,pronoun,2200.74
stor,adjective,2046.73
nu,adverb,2033.06
gå,verb,2001.14
säga,verb,1998.46
den,pronoun,1981.49
vad,pronoun,1911.2
år,noun,1886.72
äga,verb,1867.88
under,prep,1851.63
betyda,verb,1811.72
också,adverb,1797.39
där,adverb,1790.68
då,adverb,1788.93
min,pronoun,1757.18
böra,verb,1743.31
hur,adverb,1690.32
mig,pronoun,1622.7
mot,prep,1592.42
bara,adverb,1582.15
vilken,pronoun,1512.84
ut,adverb,1481.5
ny,adjective,1446.08
vid,prep,1439.02
än,conj,1428.89
bra,adjective,1428.27
ingen,pronoun,1350.9
dem,pronoun,1341.39
efter,prep,1323.97
upp,particle,1322.38
hon,pronoun,1291.75
lite,adverb,1288.09
denna,pronoun,1279.97
in,adverb,1274.61
mycket,adjective,1271.67
över,prep,1267.18
ge,verb,1208.51
vår,pronoun,1206.78
del,noun,1202.45
här,adverb,1194.91
även,adverb,1191.77
skriva,verb,1141.32
tid,noun,1127.59
ju,adverb,1119.58
sedan,adverb,1115.12
te sig,verb,1115.09
riva,verb,1088.02
börja,verb,1039.45
hel,adjective,1034.76
dag,noun,1033.61
själv,pronoun,1033.19
människa,noun,1030.33
land,noun,949.12
svensk,adjective,948.52
fråga,noun,938.78
oss,pronoun,934.32
tro,verb,928.39
el,noun,925.85
tycka,verb,924.85
kommentar,noun,924.68
veta,verb,894.31
idag,adverb,865.13
försöka,verb,859.72
behöva,verb,858.16
samma,pronoun,844.13
mellan,prep,841.51
känna,verb,840.25
läsa,verb,823.05
ro,verb,816.02
kanske,adverb,809.75
lik,adjective,808.09
låta,verb,807.17
olik,adjective,790.47
sådan,pronoun,788.97
sätt,noun,784.91
hans,pronoun,774.6
din,pronoun,771.62
gång,noun,763.39
stå,verb,761.8
inom,prep,758.15
visa,verb,757.44
vända,verb,749.26
använda,verb,749.26
hålla,verb,739.42
genom,prep,733.74
helt,adverb,721.67
fler,adjective,717.99
utan,prep,707.53
väl,adverb,705.75
barn,noun,700.31
enligt,prep,680.22
tänka,verb,666.7
ni,pronoun,665.01
viktig,adjective,662.11
ring,noun,658.84
eftersom,subj,652.0
liv,noun,624.66
deras,pronoun,623.86
värld,noun,617.89
viss,adjective,614.61
dock,adverb,614.54
egen,adjective,612.48
folk,noun,606.98
regering,noun,603.37
fram,particle,600.53
honom,pronoun,597.56
söka,verb,596.07
dig,pronoun,590.81
utan,conj,586.71
sak,noun,581.51
hög,adjective,578.03
länge,adverb,568.83
person,noun,568.43
ligga,verb,566.6
son,noun,560.93
både,conj,554.95
just,adverb,545.57
lägga,verb,545.17
antal,noun,542.86
redan,adverb,533.67
kvinna,noun,521.11
problem,noun,520.62
fall,noun,520.07
man,noun,520.07
aldrig,adverb,511.81
ofta,adverb,501.79
varje,det,501.7
artikel,noun,501.28
anse,verb,500.58
öva,verb,496.12
lag,noun,489.85
slag,noun,487.59
tal,noun,485.93
åt,prep,484.56
nog,adverb,482.6
bok,noun,478.59
varför,adverb,475.84
handla,verb,475.07
gammal,adjective,470.38
bild,noun,468.8
sida,noun,466.09
så,subj,465.43
öka,verb,462.83
därför,adverb,461.58
sen,adjective,459.09
god,adjective,453.87
hos,prep,453.15
alltid,adverb,446.85
skapa,verb,445.51
arbete,noun,441.9
kapa,verb,435.8
samt,conj,435.23
blogg,noun,430.91
innan,subj,429.65
som,adverb,429.24
ur,prep,427.0
gälla,verb,426.9
verka,verb,423.62
tala,verb,423.1
bära,verb,422.35
för,adverb,421.08
väg,noun,420.51
samhälle,noun,420.38
alltså,adverb,419.06
stat,noun,416.16
stad,noun,413.66
höra,verb,412.78
innebära,verb,412.65
genom att,subj,412.39
företag,noun,412.18
möjlighet,noun,411.21
ord,noun,410.3
politisk,adjective,409.23
välja,verb,403.72
er,pronoun,403.6
förstå,verb,403.12
ägg,noun,403.03
inlägg,noun,403.03
te,noun,401.97
spela,verb,401.87
så att,subj,400.31
lika,adverb,394.25
hitta,verb,390.73
tag,noun,390.12
dra,verb,389.89
leda,verb,388.53
gärna,adverb,387.27
ändå,adverb,386.11
förslag,noun,385.31
lyckas,verb,384.14
dessutom,adverb,381.45
område,noun,380.95
lag,noun,380.83
svår,adjective,379.67
lära,verb,376.66
sätta,verb,375.3
plats,noun,374.33
lång,adjective,372.0
lämna,verb,369.7
bygga,verb,368.34
politik,noun,367.14
tidigare,adverb,366.98
kalla,verb,365.74
peng,noun,365.1
väldigt,adverb,363.6
leva,verb,363.55
ställa,verb,361.06
följa,verb,359.7
vecka,noun,357.71
ja,interj,353.15
ske,verb,351.8
parti,noun,348.11
kräva,verb,347.5
utveckling,noun,341.81
faktiskt,adverb,341.44
ena,verb,340.46
svara,verb,339.8
ner,particle,339.66
fortsätta,verb,337.29
skola,noun,334.72
bruka,verb,334.18
mål,noun,331.84
par,noun,331.61
sent,adverb,330.39
ekonomisk,adjective,327.88
kl.,noun,325.82
dålig,adjective,323.94
