word,pos,frequency
것,dep,1.0
하다,verb,0.5
있다,aux,0.3333333333333333
있다,adj,0.25
되다,verb,0.2
수,dep,0.16666666666666666
하다,aux,0.14285714285714285
나,pron,0.125
그,det,0.1111111111111111
없다,adj,0.1
않다,aux,0.09090909090909091
사람,noun,0.08333333333333333
우리,pron,0.07692307692307693
이,det,0.07142857142857142
그,pron,0.06666666666666667
아니다,adj,0.0625
보다,verb,0.058823529411764705
등,dep,0.05555555555555555
때,noun,0.05263157894736842
거,dep,0.05
보다,aux,0.047619047619047616
같다,adj,0.045454545454545456
주다,aux,0.043478260869565216
대하다,verb,0.041666666666666664
가다,verb,0.04
년,dep,0.038461538461538464
한,det,0.037037037037037035
말,noun,0.03571428571428571
일,noun,0.034482758620689655
이,pron,0.03333333333333333
때문,dep,0.03225806451612903
말하다,verb,0.03125
위하다,verb,0.030303030303030304
그러나,adv,0.029411764705882353
오다,verb,0.02857142857142857
알다,verb,0.027777777777777776
씨,dep,0.02702702702702703
그렇다,adj,0.02631578947368421
크다,adj,0.02564102564102564
또,adv,0.025
일,dep,0.024390243902439025
사회,noun,0.023809523809523808
많다,adj,0.023255813953488372
안,adv,0.022727272727272728
좋다,adj,0.022222222222222223
더,adv,0.021739130434782608
받다,verb,0.02127659574468085
그것,pron,0.020833333333333332
집,noun,0.02040816326530612
나오다,verb,0.02
따르다,verb,0.0196078431372549
그리고,adv,0.019230769230769232
문제,noun,0.018867924528301886
그런,det,0.018518518518518517
살다,verb,0.01818181818181818
저,pron,0.017857142857142856
못하다,aux,0.017543859649122806
생각하다,verb,0.017241379310344827
모르다,verb,0.01694915254237288
속,noun,0.016666666666666666
만들다,verb,0.01639344262295082
데,dep,0.016129032258064516
두,det,0.015873015873015872
앞,noun,0.015625
경우,noun,0.015384615384615385
중,dep,0.015151515151515152
어떤,det,0.014925373134328358
잘,adv,0.014705882352941176
그녀,pron,0.014492753623188406
먹다,verb,0.014285714285714285
오다,aux,0.014084507042253521
자신,noun,0.013888888888888888
문화,noun,0.0136986301369863
원,dep,0.013513513513513514
생각,noun,0.013333333333333334
어떻다,adj,0.013157894736842105
명,dep,0.012987012987012988
통하다,verb,0.01282051282051282
그러다,verb,0.012658227848101266
소리,noun,0.0125
다시,adv,0.012345679012345678
다른,det,0.012195121951219513
이런,det,0.012048192771084338
여자,noun,0.011904761904761904
개,dep,0.011764705882352941
정도,noun,0.011627906976744186
뒤,noun,0.011494252873563218
듣다,verb,0.011363636363636364
다,adv,0.011235955056179775
좀,adv,0.011111111111111112
들다,verb,0.01098901098901099
싶다,aux,0.010869565217391304
