word,pos,frequency
el,DET,64525.29146913848
de,ADP,47098.87548948186
él,PRON,39082.41903672172
ser,AUX,36387.26315467396
a,ADP,32415.15320760976
uno,DET,31959.388757835422
que,SCONJ,30152.486842325867
no,ADV,26482.19553343865
en,ADP,21428.309704917723
yo,PRON,18951.316365994346
que,PRON,17824.879345914524
y,CCONJ,17154.729807811527
estar,AUX,14753.111220734783
haber,AUX,13178.261259059973
tú,PRON,12393.538611268725
por,ADP,11559.738108477868
tener,VERB,11372.34729326622
con,ADP,10046.28631590558
para,ADP,8657.025614078306
poder,AUX,8552.82597640596
hacer,VERB,8473.58659772986
mi,DET,8005.734292609261
su,DET,7904.730962840974
qué,PRON,6250.496335767147
decir,VERB,5734.902813497729
saber,VERB,5420.967262629898
este,DET,5306.132636840407
del,ADP,5266.149730695078
tu,DET,5059.81352681573
si,SCONJ,5024.85754128315
al,ADP,5004.662686798409
querer,VERB,4975.460055493136
ese,PRON,4773.947370814461
pero,CCONJ,4689.971644971436
como,SCONJ,4602.973955291846
ir,AUX,4562.438959599453
ver,VERB,4228.192324868551
mucho,ADV,4194.427690463847
todo,DET,3830.94936708309
más,ADV,3793.8431380514153
bien,ADV,3787.363350209549
ese,DET,3755.603672581028
este,PRON,3599.2461013833417
ir,VERB,3591.1972169340274
estar,VERB,3475.3455840841534
aquí,ADV,2687.862488557581
algo,PRON,2579.449535920791
todo,PRON,2395.719946126521
vez,NOUN,2381.7724207269875
ya,ADV,2371.544235433996
o,CCONJ,2338.709436055928
pasar,VERB,2235.73020685604
cuando,SCONJ,2226.4899712788488
dar,VERB,2182.439036891989
creer,VERB,2175.290930124728
hablar,VERB,2117.524929094994
qué,DET,1972.3253782169347
deber,AUX,1970.727224264905
ahora,ADV,1949.311961307705
nuestro,DET,1922.1142867786148
tanto,ADV,1915.547326903001
otro,DET,1750.4725523306067
nada,PRON,1727.9240529346944
cosa,NOUN,1711.0998504215072
cómo,PRON,1646.3891440365887
así,ADV,1623.0560963369526
dejar,VERB,1576.3609435930982
necesitar,VERB,1572.234800662403
hombre,NOUN,1531.380174179603
